Propinsi,2021,2022,2023
,,,
,,,
,,,
Aceh,159489,158120,153733
Sumatera Utara,216619,208606,200846
Sumatera Barat,123316,120156,115185
Riau,99510,97247,93980
Jambi,73054,70299,68021
Sumatera Selatan,126642,123545,118773
Bengkulu,55758,54176,52418
Lampung,113466,110393,105734
Kepulauan Bangka Belitung,32047,32205,31366
Kepulauan Riau,38898,39933,39038
DKI Jakarta,263930,258181,241855
Jawa Barat,361805,344118,327676
Jawa Tengah,367199,354004,336097
D.I. Yogyakarta,69973,67561,65117
Jawa Timur,403754,383805,363512
Banten,88859,87171,85161
Bali,80891,77615,73166
Nusa Tenggara Barat,85470,84200,80890
Nusa Tenggara Timur,118336,117429,113014
Kalimantan Barat,85653,84691,80898
Kalimantan Tengah,72650,72318,69775
Kalimantan Selatan,85328,84236,81306
Kalimantan Timur,76259,75216,72301
Kalimantan Utara,22238,22755,22187
Sulawesi Utara,71540,70926,68313
Sulawesi Tengah,86031,84353,81192
Sulawesi Selatan,189671,185021,178741
Sulawesi Tenggara,83081,82349,80337
Gorontalo,33835,33806,32725
Sulawesi Barat,36284,35990,34944
Maluku,65696,64498,62798
Maluku Utara,46869,47288,46255
Papua Barat,49986,49380,27529
Papua Barat Daya,0,0,20820
Papua,111439,108938,45010
Papua Selatan,0,0,16335
Papua Tengah,0,0,24377
Papua Pegunungan,0,0,20990
Luar Negeri,58,50,13
