Propinsi,Propinsiangka,2021,2022,2023
Aceh,1,159489,158120,153733
Sumatera Utara,2,216619,208606,200846
Sumatera Barat,3,123316,120156,115185
Riau,4,99510,97247,93980
Jambi,5,73054,70299,68021
Sumatera Selatan,6,126642,123545,118773
Bengkulu,7,55758,54176,52418
Lampung,8,113466,110393,105734
Kepulauan Bangka Belitung,9,32047,32205,31366
Kepulauan Riau,10,38898,39933,39038
DKI Jakarta,11,263930,258181,241855
Jawa Barat,12,361805,344118,327676
Jawa Tengah,13,367199,354004,336097
D.I. Yogyakarta,14,69973,67561,65117
Jawa Timur,15,403754,383805,363512
Banten,16,88859,87171,85161
Bali,17,80891,77615,73166
Nusa Tenggara Barat,18,85470,84200,80890
Nusa Tenggara Timur,19,118336,117429,113014
Kalimantan Barat,20,85653,84691,80898
Kalimantan Tengah,21,72650,72318,69775
Kalimantan Selatan,22,85328,84236,81306
Kalimantan Timur,23,76259,75216,72301
Kalimantan Utara,24,22238,22755,22187
Sulawesi Utara,25,71540,70926,68313
Sulawesi Tengah,26,86031,84353,81192
Sulawesi Selatan,27,189671,185021,178741
Sulawesi Tenggara,28,83081,82349,80337
Gorontalo,29,33835,33806,32725
Sulawesi Barat,30,36284,35990,34944
Maluku,31,65696,64498,62798
Maluku Utara,32,46869,47288,46255
Papua Barat,33,49986,49380,27529
Papua Barat Daya,34,0,0,20820
Papua,35,111439,108938,45010
Papua Selatan,36,0,0,16335
Papua Tengah,37,0,0,24377
Papua Pegunungan,38,0,0,20990
Luar Negeri,39,58,50,13
